Criptomoneda,Precio,Fecha,Horas,Minutos,Segundos
BTCUSDT,49872.26,2024-02-12,19,1,20
ETHUSDT,2633.91,2024-02-12,19,1,20
TRXUSDT,0.12524,2024-02-12,19,1,20
BTCUSDT,49894.8,2024-02-12,19,1,50
ETHUSDT,2635.99,2024-02-12,19,1,50
TRXUSDT,0.12525,2024-02-12,19,1,50
BTCUSDT,49894.8,2024-02-12,19,2,21
ETHUSDT,2637.08,2024-02-12,19,2,21
TRXUSDT,0.12525,2024-02-12,19,2,21
BTCUSDT,49900.85,2024-02-12,19,2,51
ETHUSDT,2636.71,2024-02-12,19,2,51
TRXUSDT,0.12524,2024-02-12,19,2,51
BTCUSDT,49939.74,2024-02-12,19,3,22
ETHUSDT,2638.5,2024-02-12,19,3,22
TRXUSDT,0.12524,2024-02-12,19,3,22
BTCUSDT,49931.09,2024-02-12,19,3,52
ETHUSDT,2636.75,2024-02-12,19,3,52
TRXUSDT,0.12525,2024-02-12,19,3,52
BTCUSDT,49954.86,2024-02-12,19,4,22
ETHUSDT,2636.5,2024-02-12,19,4,22
TRXUSDT,0.12525,2024-02-12,19,4,22
BTCUSDT,49973.99,2024-02-12,19,4,53
ETHUSDT,2636.95,2024-02-12,19,4,53
TRXUSDT,0.12525,2024-02-12,19,4,53
BTCUSDT,49975.94,2024-02-12,19,5,23
ETHUSDT,2639.17,2024-02-12,19,5,23
TRXUSDT,0.12527,2024-02-12,19,5,23
BTCUSDT,49942.84,2024-02-12,19,5,54
ETHUSDT,2638.72,2024-02-12,19,5,54
TRXUSDT,0.12525,2024-02-12,19,5,54
BTCUSDT,49936.38,2024-02-12,19,6,24
ETHUSDT,2638.38,2024-02-12,19,6,24
TRXUSDT,0.12525,2024-02-12,19,6,24
BTCUSDT,49936.42,2024-02-12,19,6,54
ETHUSDT,2639.61,2024-02-12,19,6,54
TRXUSDT,0.12522,2024-02-12,19,6,54
BTCUSDT,49938.34,2024-02-12,19,7,25
ETHUSDT,2638.09,2024-02-12,19,7,25
TRXUSDT,0.12515,2024-02-12,19,7,25
BTCUSDT,49901.11,2024-02-12,19,7,56
ETHUSDT,2638.51,2024-02-12,19,7,56
TRXUSDT,0.12515,2024-02-12,19,7,56
BTCUSDT,49898.0,2024-02-12,19,8,26
ETHUSDT,2639.18,2024-02-12,19,8,26
TRXUSDT,0.12514,2024-02-12,19,8,26
BTCUSDT,49901.15,2024-02-12,19,8,57
ETHUSDT,2639.45,2024-02-12,19,8,57
